Acronym,Description,Notes
MCA,Modular Control Architecture,
D&A,Data & Analytics ,
TO,Trip Optimizer,Pillar App
MCS,Management Console System,Pillar App
MRY,My Rail Yard,Pillar App
RMD,Remote Monitoring & Diagnostics,Pillar App
WIM,???Wabtec Incident Management,
SCC,Supply Chain Connect ,
TPM,Technical Product Manager,
MTA,Material Technical Advisor,Material manager on shop floor
PTA,Production Technical Advisor,Shop floor supervisor
QTA,Quality Technical Advisor,Quality supervisor on shop floor 
BL,Business Leader,
EHS,Environmental Health & Safety,
NCMR,Non-conforming material report,Tool used in Reliance 
NPI,New Product Introduction,
PCR,Product change request,
PO,Purchase order,
AAR,Association of American Railroads,
ABS,American Bureau of Shipping ,
APR,Annual Percentage Rate,
BOM,Bill of Materials,
CAS,Consolidated Supplier List,
DE,Design Engineer ,
DPMO,Defects Per Million Opportunities,
DRS,Drawing Retrieval System,(Web tool)
FTK,Finance Toolkit,(Web tool)
GCL,Global Commodity Leader ,
GSL,Global Supplier List,
GST ,General Sourcing Tool,(Access program)
IOP,Internal Operating Price,
LCC,Low Cost Country,
LOB,Line of Balance,
LOI,Letter of Intent,
LTA,Long Term Agreement,
MOQ,Minimum Order Quantity,
MOU,Memorandum of Understanding,
NCI,New Component Introduction,
NCMR,Non-Comforming Material Request,
NCNR,"Non-cancelable, Non-returnable",
NDA,Non-Disclosure Agreement,
NPI,New Product Introduction,
PA,Purchase Agreement,
P&E,Plant and Equipment,
P/N,Part Number,
PO ,Purchase Order,
DOA,Delegation of Authority,
PPAP ,Production Part Approval Process,
PPV,Purchase Price Variance,
PQE,Part Quantity Exception ,
PST ,Project Saving Tracker (Web tool),
QFD,"Quality, Function, Deployment",
RFI,Request for Information,
RFP,Request for Proposal,
RFQ,Request for Quote,
ROW,Rest of World,
SA,Supply Agreement,
SAP,Supplier Accountability Process ,
SCC,Supply Chain Connect,(Web tool)
SCP,Supplier Collaboration Portal,
SDR,Supplier Deviation Request,
SPF,Sourcing Price Feed,
SQE,Supplier Quality Engineer ,
SR,Sourcing Rule,
TPV,Total Project Value,
T's and C's,Terms and Conditions,
YOY,Year over Year,
PTA (Materials term),Premium Transportation Authorization,
TXO/TXM,Mining Facility,
TXL,TX Locomotive Facility,
TXW,TX Mining Warehouse,
TXD,TX Locomotive Warehouse,
GHD,Hardinger,
